habid,hid,nombre_habitacion,precio
99,0,Sr(a). Verónica Gamez,91033.28
100,0,Ana Luisa Alonso Olivares,120741.09
101,0,Federico Alemán,28189.02
102,0,Ing. Caridad Barajas,115081.92
103,0,José María Pedroza Caldera,11727.49
104,0,Arcelia Cardenas,42431.22
105,0,Magdalena Castellanos Granado,35545.23
106,0,Isabela Parra Muro,52563.52
107,0,Dr. Gabriela Linares,32365.06
108,0,Mtro. Micaela Rivas,71173.55
109,0,Jos Feliciano,9805.37
110,0,Norma Ballesteros Rubio,120448.06
111,0,Mtro. Daniel Valdivia,39803.51
112,0,Agustín Quintanilla,116891.37
113,0,Mario Miriam Padrón Vigil,139330.68
114,0,Dr. Cristian Vélez,31453.26
115,0,Yuridia Adán Guajardo Barrios,26243.56
116,0,Ing. Berta Huerta,56198.42
117,0,Mtro. Lorena Villarreal,76370.7
118,0,Diana Luis Miguel Lomeli Medrano,49928.99
119,0,Marisol Rosario Benítez,69725.22
120,0,Lic. Gabino Torres,146571.4
121,0,Lic. Vicente Bermúdez,35034.43
122,0,Homero Colón,101375.26
123,0,Javier Aldo Carrero Gonzales,36110.13
124,0,Ángela Pineda Candelaria,8837.75
125,0,Cornelio Marisol Barraza Mendoza,52235.99
126,0,Blanca Zamora Tirado,99158.27
127,0,Tania Jaqueline Frías,110275.87
128,0,Alberto Gollum Tafoya,85434.55
129,0,Lic. Carmen Elizondo,20971.48
130,0,Margarita Robles,23646.39
131,0,Maximiliano Marcela Baca Navarrete,32033.16
132,0,Lic. Asunción Zapata,121151.12
133,0,Dr. Hernán Godoy,23448.51
134,0,Yolanda Mejía,93525.49
135,0,Nadia Herrera Córdova,4310.1
136,0,Lic. Inés Villareal,37018.39
137,0,Agustín Úrsula Angulo Tovar,55580.09
138,0,Karina Tomás Aguilar Longoria,40334.78
139,0,Joaquín Minerva Berríos Baeza,111129.25
140,0,Zeferino Fernando Cazares Baca,16469.27
141,0,Amanda Serrato Casárez,123750.48
142,0,Lic. Abelardo Ruiz,63331.22
143,0,Asunción Montañez Mota,27949.92
144,0,Ana María Rosa Ayala,31696.12
145,0,Santiago Eric Ortiz,49637.65
146,0,Horacio Rosario Castellanos,120255.71
147,0,José Emilio Araceli Aguirre Madera,119905.47
148,0,Ing. Fernando Campos,98669.55
149,0,Eloisa Mitzy Serrano Cortez,90446.71
150,1,Sr(a). Oswaldo Loera,10617.65
151,1,Ing. Benjamín Aguilar,8183.63
152,1,Carlos Leyva Gurule,136476.59
153,1,Isabel Mascareñas Jimínez,115817.75
154,1,Indira Daniel Rubio Velásquez,62562.21
155,1,Espartaco Santacruz,103221.23
156,1,Israel Joaquín Montalvo Godínez,8030.55
157,1,Miguel Ángel Eugenio Martínez,147271.13
158,1,Gabriel Griego Suárez,110272.79
159,1,Serafín Cardenas,148505.85
160,1,Mario Alicia Mateo,105497.96
161,1,Patricio León,39368.93
162,1,Porfirio Alonso Cardona,73369.37
163,1,Sr(a). Sonia Caraballo,149858.52
164,1,Guadalupe Leticia Valdivia Torres,42551.72
165,1,Modesto Inés Gallegos Almaraz,84697.29
166,1,Emilio Leonel Benítez,49013.55
167,1,Gonzalo Pedro Sáenz Vásquez,15548.8
168,1,Dr. Norma Regalado,56149.67
169,1,Abril de León Guzmán,118383.89
170,1,José Luis Girón,144186.85
171,1,Leticia Herrera Gallegos,4731.38
172,1,Sr(a). Carla Valverde,102409.57
173,1,Virginia Pablo Rico,26053.55
174,1,Benjamín Figueroa Cavazos,10273.34
175,1,Lucía Óscar Vaca Tafoya,44690.04
176,1,Irene Josefina Valles,14362.72
177,1,Amelia Lemus Peralta,129370.22
178,1,Alejandra Fuentes Ornelas,125271.74
179,1,Sr(a). Ricardo Preciado,44020.85
180,1,Gustavo Fuentes Tijerina,132699.91
181,1,Ing. Francisca Espino,99261.9
182,1,Jorge Orosco,134037.79
183,1,Nadia Muro Villagómez,129238.89
184,1,Lic. Gabriel Brito,144191.26
185,1,Lourdes Galindo Covarrubias,13046.07
186,1,Sr(a). Carolina Guerrero,36150.78
187,1,Armando Domínguez Oquendo,120347.5
188,1,Jorge Luis Ayala,46042.03
189,1,Reina Rolando Vaca Guerra,33464.78
190,1,Roberto Dávila Zepeda,49496.64
191,1,Enrique Dalia Godínez Ybarra,53639.8
192,1,Amelia Montaño Alvarado,140072.4
193,1,Paola Pamela Segura,106560.33
194,1,Rolando Corral Terrazas,129336.68
195,1,Federico Rodríguez,131214.03
196,1,Samuel Urbina,7676.69
197,1,Ing. Marcos Montoya,2787.75
198,1,Miguel Ángel Marco Antonio Enríquez,39258.44
199,1,Enrique Cynthia Bravo Bustos,92210.68
200,1,Sr(a). Uriel Cabrera,94876.72
201,1,Magdalena Ayala,107768.76
202,1,Nayeli Romo Navarro,34604.09
203,1,Dulce María Velasco Badillo,66569.71
204,1,José Eduardo Ofelia Narváez,77592.17
205,1,Eloisa Castañeda,125917.18
206,1,Cristobal Negrón,86326.26
207,1,Luis Manuel Castro,135600.02
208,1,Dr. Manuel Arevalo,7933.84
209,1,Nelly Saldaña,121003.95
210,1,Porfirio Alicia Godínez,120943.96
211,1,María Cristina Santana Benítez,8021.29
212,1,César Sierra Barrientos,8617.08
213,1,Mtro. Jorge Soria,35380.7
214,1,Gerardo Mejía Mares,82356.3
215,1,Elena Santana Esquibel,25072.49
216,1,Mtro. Gustavo Toledo,42024.81
217,1,Ing. Cecilia Ramos,113485.8
218,1,Ana María Rodarte Bernal,120464.78
219,1,Citlali Galarza,121746.53
220,1,Dulce Esperanza Robledo Rosario,47621.36
221,1,Genaro Valdivia Roldán,67019.93
222,1,María Teresa Marroquín Vallejo,13101.42
223,1,Delia Ponce,82591.47
224,1,Adalberto Haro,103821.63
225,1,Wendolin Mónica Mondragón,149873.74
226,1,Araceli Horacio Castellanos,77148.26
227,1,Eugenio Linda Regalado,55416.25
228,1,Ing. Alejandra Cepeda,15854.32
229,1,Mtro. Adán Páez,90442.24
230,1,Ing. Dulce María Palacios,20904.92
231,1,Augusto Navarrete Cortez,73574.86
232,1,Claudia Montero Calvillo,58697.55
233,1,Lic. Isabel Guerrero,139666.21
234,1,Bernardo Elisa Botello,115510.22
235,1,Ruby Gollum Elizondo,36315.85
236,1,Carolina Alvaro Roybal,11984.04
237,1,Sr(a). Ramón Pulido,106042.07
238,1,Sofía Ureña,136107.76
239,1,Elias Navarrete,123487.67
240,1,Cristal Blanco Godínez,111114.28
241,1,Trinidad Cristina Trujillo,134744.86
242,1,Angélica Nancy Bustamante de la Fuente,130504.37
243,1,Benjamín Amalia Brito Valdés,147638.4
244,1,Salma Cornelio Reyna Solorio,43084.84
245,1,Camila Navarrete Cavazos,137082.62
246,1,Magdalena Terrazas,110937.9
247,1,Lourdes Valdez Roybal,129001.32
248,1,Modesto Arriaga,17155.81
249,1,Celia Razo Rico,94974.18
250,1,Anabel Joaquín del Valle,25742.21
251,1,Lic. Gloria González,87624.59
252,1,Germán Yeni Solorzano Medina,12694.5
253,1,Gabriel Muñiz,29075.42
254,1,Lic. Pedro Roque,87630.55
255,1,Alvaro Espinoza,100461.48
256,1,Sessa Urías,149535.45
257,1,Ignacio Medrano Mejía,133796.56
258,1,Juan Carlos Rodrígez,121097.51
259,1,Martín Aurelio Carmona,74064.45
260,1,Esperanza Agustín Curiel Becerra,137080.18
261,1,Minerva Mitzy Castillo Fajardo,89146.0
262,1,Sergio Mateo Leiva,64809.21
263,1,Blanca Juan Carlos Toro Cotto,33173.19
264,1,Dr. Camilo Malave,66981.07
265,1,Alejandra Vanesa de León,108219.17
266,1,Abraham Ferrer Angulo,93821.22
267,1,Rocío Pacheco,139847.89
268,1,Ing. Mauricio Quintero,15182.08
269,1,Ing. Marcos Becerra,126057.97
270,1,Hermelinda Enrique Carvajal,137426.69
271,1,Ivonne Araceli Paz Coronado,70699.81
272,1,Pablo Anabel Cornejo,20791.91
273,1,Arcelia Eva Casillas,110639.52
274,1,Dr. Víctor Villarreal,37213.68
275,1,Marisol Linares Leal,135219.8
276,1,Rufino René Vargas,139712.68
277,1,Patricia David Cavazos Jaime,144716.56
278,1,Bernardo Tapia del Río,9789.12
279,1,Eric Esther Arredondo Nieto,79943.2
280,1,Dr. Hugo Terrazas,109716.45
281,1,Ing. Aldo Lovato,96986.17
282,1,Lic. Víctor Espinal,134075.19
283,1,Lilia Leonel Ceja,30503.53
284,1,Magdalena Bernal,45211.07
285,1,Ofelia Teodoro Solano,17973.23
286,1,Nayeli Aldo Cordero,26666.69
287,1,Wendolin Jorge Sáenz Orellana,71635.05
288,1,Esmeralda Cabán,34537.35
289,1,Alejandro Hilda Reyes Benítez,134348.52
290,1,María Teresa Armas,22650.88
291,1,Amelia Balderas Matías,128510.18
292,1,Dr. Ruby Perea,101704.31
293,1,Irma Franco,58466.93
294,1,Estefanía Granados Gallardo,147105.45
295,1,Serafín Alfonso Morales Torres,75242.14
296,1,Daniel Guerra,80941.45
297,1,Luisa Eloy Arce Esparza,130936.49
298,1,Sr(a). María Luisa Becerra,126974.66
299,1,Lic. Salvador Aguirre,32907.48
300,2,Yeni Caldera Sotelo,73133.05
301,2,Patricia Óscar Zambrano,50313.65
302,2,Marisol Ulibarri Cavazos,57533.2
303,2,Darío Bruno Monroy Corrales,82068.81
304,2,Yuridia Luisa Casárez Jaime,8366.36
305,2,Clara Benavides,38442.28
306,2,Rosa Daniel Farías,139697.79
307,2,Dr. Verónica Lomeli,65558.7
308,2,Modesto Francisca Tórrez Quiroz,5695.92
309,2,Leonardo Olivera,140571.1
310,2,Virginia Renato Ramos Mondragón,96787.18
311,2,Hernán Maldonado Otero,50344.11
312,2,Yeni Hilda Godínez Palacios,139828.64
313,2,Ing. Alta  Gracia Garibay,102907.88
314,2,Ing. Alicia Casillas,121444.44
315,2,Andrés Martha Jurado,48037.18
316,2,Renato Espartaco Alonzo,104495.57
317,2,Lucía de León Borrego,144749.34
318,2,Catalina Salcedo,128813.81
319,2,Lic. Lorena Montez,32315.45
320,2,Antonia Marisela Mesa Segura,64114.37
321,2,Mtro. Esmeralda García,137765.93
322,2,Graciela Gerónimo Santacruz Villarreal,33043.46
323,2,Eduardo Isaac Negrete,63674.46
324,2,Dr. Benito Arredondo,126842.28
325,2,Estefanía Hilda Guzmán Toro,11247.36
326,2,Susana Cecilia Aparicio Godínez,114029.99
327,2,Sr(a). Reynaldo Tafoya,61198.23
328,2,Tania Enrique Vélez,78829.57
329,2,Eloy Olvera Téllez,135064.16
330,2,Raúl Casárez Noriega,141617.99
331,2,Beatriz Josefina Lozada,108719.88
332,2,Jos Santiago Figueroa,121382.23
333,2,Marcela Guerra,79675.49
334,2,Violeta Gallegos Llamas,113391.18
335,2,Roberto Cristobal Valadez Naranjo,89984.1
336,2,Eugenia Sara Saavedra Negrón,77961.9
337,2,Lic. Paola Pantoja,9856.74
338,2,Adalberto Verdugo,42983.83
339,2,Gilberto Calderón,44591.72
340,2,Ing. Marco Antonio Soria,87874.98
341,2,María Eugenia Saldaña Juárez,16727.74
342,2,Jacinto Ayala,63871.5
343,2,Salma Garica Zamora,33747.03
344,2,Marisol Guajardo,9908.93
345,2,Noemí Sergio Urrutia Trejo,26500.79
346,2,Yeni Esquibel,133129.3
347,2,Sr(a). Gregorio Covarrubias,11212.91
348,2,Dr. Javier Alarcón,115794.66
349,2,Diego Roberto Pichardo,134992.47
350,2,Bruno Villalpando,95525.18
351,2,Aldo Eduardo Gastélum Tijerina,94632.33
352,2,Tomás Espartaco Chávez Mares,85750.82
353,2,Cristina Gerónimo Polanco,56287.25
354,2,Catalina Zambrano Tijerina,26844.04
355,2,Jaqueline Estela Maestas,78164.7
356,2,Mateo Leiva Baeza,62426.18
357,2,Esmeralda Itzel Niño,87797.01
358,2,Dr. Elisa Villarreal,26438.18
359,2,Luz Delgado del Río,72299.84
360,2,Eloisa Isaac Mascareñas Chapa,64522.31
361,2,Camila Rolón Raya,111298.44
362,2,Héctor Luis Manuel Carrasco Ontiveros,45463.22
363,2,Jesús Cotto Collado,134847.6
364,2,Hilda Guadalupe Herrera,96479.32
365,2,José Cervántez Cordero,39034.56
366,2,Ing. Jacinto González,148903.03
367,2,Elvira Rolón,148227.47
368,2,Wendolin Escamilla Ureña,68243.19
369,2,Ing. Adela Apodaca,138546.15
370,2,Lic. Anel Tejada,29534.8
371,2,Uriel Olivo Feliciano,66825.5
372,2,Dulce María Dalia Benavídez Orosco,119156.38
373,2,Israel Becerra,49978.65
374,2,Georgina Miguel Cadena Solorio,111362.77
375,2,Mtro. Ignacio Santiago,36233.77
376,2,Dr. Juan Verduzco,110372.64
377,2,Aurelio Colunga,32460.84
378,2,Antonio Ruby Apodaca Almonte,16600.79
379,2,Gregorio Pedroza Gastélum,142576.73
380,2,Asunción Casanova,121711.7
381,2,Benito Alejandro Irizarry,33697.67
382,2,Ignacio Perea,128463.6
383,2,Jacobo Alarcón Rivas,72823.25
384,2,Cristobal Gallegos,148441.78
385,2,Gerardo Mota Colón,35814.42
386,2,Benjamín Lovato Barela,49439.29
387,2,Mtro. Alma Cantú,115414.09
388,2,Rafaél Valdivia,20830.78
389,2,Aurora Genaro Toledo Pacheco,86248.32
390,2,Abel Badillo Ramírez,60942.92
391,2,Pablo Nadia Garza,111155.14
392,2,Dr. Elvira Brito,14953.37
393,2,Zacarías Araceli Campos,141992.58
394,2,Eric Sierra,138197.05
395,2,Vanesa Camarillo Ávila,143430.12
396,2,Ruby Ernesto Aragón Magaña,148975.06
397,2,Ricardo Arturo Cazares,51812.75
398,2,Leticia Alcántar Treviño,122375.65
399,2,Lic. Jerónimo Ramírez,2213.33
400,2,Concepción Acuña Tafoya,133809.95
401,2,Humberto Claudia Vázquez,86858.18
402,2,Óscar Juan Pantoja Zedillo,132125.94
403,2,Leonor Cynthia Zavala León,58022.49
404,2,Federico Flores Cabrera,83049.56
405,2,Marisol Antonio Farías,123763.36
406,2,Ing. Violeta Caldera,28735.32
407,2,Teodoro Bianca Soria,25698.07
408,2,Flavio Mauro Armendáriz Sarabia,63338.38
409,2,Concepción Lucero Delgadillo,18634.85
410,2,Arcelia Margarita Castellanos Padrón,32456.02
411,2,Darío Adalberto Saavedra Mora,34181.65
412,2,Ruby León Curiel,131195.78
413,2,Lorenzo Mata Camacho,14245.66
414,2,Dr. Humberto Partida,23528.85
415,2,Sr(a). Aurora Ramón,111259.28
416,2,Lucía Patricio Lerma,69881.74
417,2,Socorro Iván Echeverría,127672.76
418,2,Mauricio Alejandro Maya Berríos,119080.9
419,2,Gerardo Lozada Dueñas,134319.53
420,2,Lilia Luis Quesada Heredia,108498.96
421,2,Mtro. María Elena Preciado,118523.83
422,2,Dr. Débora de Jesús,18094.74
423,2,Dr. Esteban Sepúlveda,73165.92
424,2,Gonzalo Cristal Bétancourt de Anda,148179.19
425,2,Tomás Perla Mojica Girón,52584.4
426,2,Alma Timoteo Vergara Mondragón,63340.29
427,2,Abigail Berríos,140825.7
428,2,Lic. Leonel Granado,81996.82
429,2,Mtro. Silvia Peralta,146387.0
430,2,Dr. Miguel Ángel Vargas,124872.1
431,2,Vanesa Suárez,7538.37
432,2,Alma Mateo Tejada,53665.89
433,2,Nadia Tamez,26956.33
434,2,Mtro. Bernabé Montes,34158.35
435,2,Martha Benjamín de la Rosa,52954.41
436,2,Gustavo Juárez,109645.05
437,2,Marisela Valle,75872.07
438,2,Guillermina Alejandro Cavazos,35792.81
439,2,Luisa Cadena,44317.76
440,2,Ernesto Carlos Galván Macías,105788.91
441,2,Leonel Bermúdez Barragán,36406.78
442,2,Lic. Sofía Lugo,136849.4
443,2,Lorena Parra,69701.27
444,2,Yolanda Anabel Valverde,109121.12
445,2,Yuridia Murillo Calvillo,61785.16
446,2,Pedro de la Crúz Prieto,112259.67
447,2,Federico Berta Barraza,28561.62
448,2,Tania Parra Menchaca,146778.94
449,2,Rocío José Manuél Aranda Zayas,21095.94
450,3,Luz Raya Vega,123404.05
451,3,Laura Alberto Peralta Loya,113754.0
452,3,Dr. Ana María Ureña,28761.59
453,3,César Gilberto Barrios,54536.57
454,3,Ofelia Concepción de la O,128506.06
455,3,Olga Itzel Raya,86471.53
456,3,Sr(a). Itzel Casárez,70783.77
457,3,Adán Razo,111108.19
458,3,Aldonza Amalia Arteaga,102749.97
459,3,Lic. Indira Angulo,56092.29
460,3,Rufino Gabino Almonte Guevara,57253.24
461,3,Micaela José Rosado,98479.36
462,3,Emilia Calderón Elizondo,41561.93
463,3,José María Jaime Casárez,145777.68
464,3,Irma Andrea Lebrón Puente,86124.41
465,3,Luis Miguel Vigil Corrales,148512.93
466,3,María Cristina Marcela Berríos Gaytán,115313.13
467,3,Itzel Suárez Amador,54179.69
468,3,Silvano Mariana Jaimes,106946.0
469,3,Ruby Bruno Escalante Riojas,112186.45
470,3,Magdalena Nazario,54642.61
471,3,Elsa Cortés,18781.94
472,3,Germán Abreu Valles,132680.43
473,3,Daniela Salazar Chávez,14224.21
474,3,Gabriela Palacios Cotto,117055.06
475,3,Dr. Luis Manuel Cuellar,89060.21
476,3,Tomás Humberto Aguilera,103668.38
477,3,Aurora Blanca Negrón,89279.32
478,3,Blanca César Zamudio,48111.8
479,3,Alfredo Llamas Gaytán,135861.96
480,3,Eloisa María del Carmen Echeverría,5492.97
481,3,Isabel Matos Laboy,52878.62
482,3,Olivia González Zaragoza,75838.07
483,3,Dr. Eric Leiva,7332.81
484,3,Felipe Vigil Ochoa,133908.63
485,3,Noelia Franco Bahena,86517.49
486,3,Anabel Zamora,115633.73
487,3,Alfredo Citlali Bravo Tamez,110014.17
488,3,Francisco Óliver Corona,28801.16
489,3,Araceli Carrión,47569.74
490,3,Reynaldo Vergara,17186.2
491,3,Luz Marisol Colón Feliciano,113805.62
492,3,Jerónimo Guerra,98100.0
493,3,Liliana Quezada,103745.34
494,3,Renato Mora Jaime,125658.99
495,3,Marco Antonio Aldonza Sauceda Urías,93570.06
496,3,Ing. Abel Báez,26568.15
497,3,Gabino Clara Trejo Espino,11460.62
498,3,Isabela Lovato Verdugo,80620.61
499,3,Sr(a). Claudio Mendoza,137464.38
500,3,Martín Marcela López,132175.09
501,3,Eloisa Esparta Bétancourt Guevara,109022.34
502,3,Sergio Valverde Maya,7033.55
503,3,Wilfrido Carvajal,120734.51
504,3,Dulce Salinas,118113.83
505,3,Miguel Ángel Muñoz Castellanos,63369.06
506,3,Silvia Patricio Muñiz Romero,45058.49
507,3,Nancy Madera Ortega,6267.59
508,3,Dr. Cecilia Barrios,56705.72
509,3,Hilda Leticia Soto Luna,91664.37
510,3,Ramiro Guillermina Sierra Sandoval,89800.83
511,3,Dr. Modesto Laboy,46312.8
512,3,Rosario Magaña,58984.25
513,3,Dr. Jacobo Gamez,99819.59
514,3,Sr(a). Nancy Solano,54742.41
515,3,Clemente Marco Antonio Farías,80892.61
516,3,Asunción Esquibel Caballero,69252.64
517,3,Daniela Modesto Marroquín,145803.45
518,3,Uriel Briones,98651.95
519,3,Amador Prieto Enríquez,82699.87
520,3,Luz Martín Nava Casanova,10470.0
521,3,Francisca Rafaél Olvera Durán,9176.24
522,3,Natalia Rentería Orta,57453.81
523,3,Cristal Acosta Loya,89534.3
524,3,Jos Judith Espino Olmos,83576.81
525,3,Andrés Esquibel de la Garza,26977.14
526,3,Pedro Robles,19841.0
527,3,Carmen Lozada Lovato,10421.7
528,3,Camilo Uribe,13220.93
529,3,Guadalupe María del Carmen Mesa,129618.66
530,3,Marcos Noelia Vásquez Manzanares,94293.14
531,3,Ing. Aldonza Fuentes,29497.84
532,3,Wilfrido Valladares Toro,39035.32
533,3,Indira Tania Cabrera,51627.83
534,3,Emilia Duarte Concepción,89308.23
535,3,Yuridia Homero Calderón,38920.01
536,3,Pascual Rivero,22068.29
537,3,Susana Rodríguez Alcala,13177.1
538,3,Hugo Horacio Ornelas,136040.61
539,3,Ing. Silvia Arguello,21173.24
540,3,Dr. Nadia Urías,107955.77
541,3,Nayeli Elias Villalobos,51751.13
542,3,Rocío Jaqueline Balderas Castellanos,140813.46
543,3,Raquel Cristina Delgadillo Lomeli,90625.76
544,3,Eduardo Nadia Borrego,62374.34
545,3,Mtro. Guillermina Padrón,97900.87
546,3,Rebeca Esther Collado Negrete,6602.87
547,3,Alfredo Arturo Candelaria,129806.66
548,3,María Eugenia Martínez,118083.39
549,3,Irma Amalia Cabrera,7312.38
550,3,Lic. Irma Serna,106561.42
551,3,Carlos Vásquez Solorio,122062.77
552,3,Ana Luisa Bustos,114611.47
553,3,Cornelio Orosco Carranza,110556.57
554,3,Esther Pizarro,100877.85
555,3,Santiago Araceli Almanza,61207.9
556,3,Rocío Paz Esparza,130237.4
557,3,Elvia Yáñez,19247.5
558,3,Lorenzo Alejandro Piña,84110.08
559,3,Julia Nelly Quintana,20412.38
560,3,Miriam Antonio Quiñones,85198.2
561,3,Esther Martínez Villa,49843.61
562,3,Luis Bétancourt,27603.29
563,3,Pilar Cortez Rojo,22479.92
564,3,Luis Manuel Leonel Olmos,148746.78
565,3,María Teresa Morales Vallejo,63970.27
566,3,Karina Fernando Barrera,4289.74
567,3,Ing. Sonia Alba,118658.91
568,3,Mtro. Sofía Martínez,128076.21
569,3,Paola Orozco Esparza,122551.02
570,3,Delia Ornelas,29387.61
571,3,Caridad Concepción Jaimes,80328.05
572,3,Salvador Miguel Estévez Rascón,73413.35
573,3,Gustavo Citlali Quiroz,4990.79
574,3,Sr(a). Eugenia Rincón,86357.16
575,3,Raquel José Manuél Luevano,104407.19
576,3,Antonio Domínguez,27397.66
577,3,Vanesa Armendáriz,23165.77
578,3,Ing. Leonor Arevalo,41684.5
579,3,Adán Rico Armendáriz,87860.83
580,3,Helena Franco,108015.19
581,3,Octavio Sonia Padrón,13844.49
582,3,Mariana Luisa Fonseca,47333.59
583,3,Augusto Pineda,106592.74
584,3,Mtro. Sessa Romero,80402.73
585,3,Mariano Lucero Bonilla,68624.44
586,3,Lic. Irma Montenegro,57934.45
587,3,Guillermina Quintanilla,133578.27
588,3,Itzel Beatriz Rojo Matos,118695.07
589,3,Mitzy Méndez Collazo,10469.16
590,3,Dr. Gloria Moreno,48186.64
591,3,Olga Montaño,48978.6
592,3,Florencia Leonor Segura,125994.24
593,3,María José Benavides Barrios,35122.26
594,3,Claudia Miguel Valle,85090.28
595,3,Antonia María Eugenia Irizarry Gurule,98041.54
596,3,Pascual Reyes,125916.95
597,3,Cecilia Yáñez Guillen,119662.44
598,3,Luis Manuel Vásquez,116298.78
599,3,Adela Teodoro Longoria,9907.47
600,4,Ana Agustín Maya,70817.29
601,4,Claudia Cintrón Espino,57798.16
602,4,Sr(a). Felipe Saldivar,86019.42
603,4,René Barajas Bustamante,16698.34
604,4,Eloy Carreón Irizarry,84712.45
605,4,Caridad Gabriela Alemán,70470.25
606,4,Florencia Dalia Guardado Alcaraz,100128.12
607,4,Linda José Núñez,140766.36
608,4,Jerónimo Cynthia Esquibel,3188.75
609,4,Alvaro Ruby Chacón,123946.14
610,4,Salvador Mauro Barrera Arteaga,92901.92
611,4,Juan Cecilia Guevara Gurule,43014.31
612,4,Juan Carlos Lerma,45083.76
613,4,Agustín Arcelia Baeza Salazar,25948.92
614,4,Ing. Aldonza Casillas,133866.84
615,4,Lic. Amador Quiñónez,37461.2
616,4,Abril Solano,12545.5
617,4,Amador Gabriel Carmona,50996.24
