vid;eid
1;175
20;176
1;176
7;177
47;177
29;178
21;178
3;179
10;179
42;180
23;180
21;181
36;181
45;182
25;182
36;183
42;183
20;184
37;184
40;185
20;185
7;186
40;186
2;187
36;187
33;188
42;188
9;189
39;189
33;190
0;190
11;191
12;191
30;192
39;192
32;193
9;193
39;194
18;194
21;195
10;195
36;196
3;196
29;197
36;197
43;198
19;198
46;199
22;199
46;200
10;200
11;201
6;201
9;202
15;202
16;203
45;203
34;204
41;204
30;205
24;205
1;206
31;206
34;207
2;207
15;208
41;208
1;209
10;209
40;210
15;210
28;211
11;211
1;212
20;212
18;213
37;213
8;214
44;214
27;215
9;215
17;216
15;216
3;217
35;217
37;218
32;218
25;219
42;219
1;220
18;220
5;221
23;221
34;222
23;222
43;223
33;223
42;224
30;224
12;225
30;225
0;226
24;226
18;227
11;227
19;228
23;228
23;229
30;229
9;230
43;230
28;231
30;231
18;232
16;232
25;233
13;233
9;234
39;234
43;235
15;235
17;236
44;236
30;237
35;237
0;238
41;238
40;239
31;239
32;240
4;240
35;241
31;241
37;242
4;242
19;243
38;243
43;244
14;244
0;245
2;245
28;246
12;246
20;247
13;247
35;248
7;248
20;249
5;249
28;250
36;250
29;251
34;251
35;252
18;252
1;253
14;253
23;254
4;254
10;255
39;255
4;256
28;256
35;257
44;257
15;258
0;258
38;259
45;259
31;260
8;260
19;261
5;261
31;262
28;262
46;263
9;263
26;264
22;264
24;265
14;265
40;266
22;266
22;267
28;267
12;268
6;268
22;269
37;269
40;270
3;270
19;271
29;271
36;272
0;272
39;273
45;273
41;274
8;274
9;275
35;275
32;276
29;276
15;277
45;277
19;278
6;278
0;279
4;279
24;280
23;280
43;281
23;281
43;282
20;282
15;283
2;283
19;284
33;284
12;285
0;285
23;286
2;286
4;287
20;287
23;288
36;288
1;289
43;289
13;290
14;290
14;291
16;291
17;292
16;292
31;293
34;293
31;294
45;294
25;295
36;295
39;296
13;296
28;297
22;297
30;298
17;298
8;299
9;299
1;300
0;300
21;301
10;301
8;302
19;302
9;303
4;303
7;304
32;304
19;305
35;305
40;306
16;306
38;307
10;307
25;308
24;308
22;309
0;309
44;310
22;310
10;311
40;311
35;312
44;312
21;313
42;313
29;314
47;314
23;315
6;315
24;316
15;316
12;317
41;317
10;318
4;318
26;319
44;319
1;320
45;320
41;321
6;321
33;322
32;322
19;323
2;323
20;324
37;324
20;325
23;325
46;326
27;326
13;327
10;327
28;328
23;328
3;329
45;329
32;330
18;330
9;331
11;331
16;332
14;332
44;333
0;333
29;334
3;334
4;335
29;335
19;336
40;336
11;337
23;337
42;338
2;338
35;339
37;339
38;340
9;340
31;341
3;341
46;342
25;342
44;343
7;343
2;344
17;344
11;345
47;345
18;346
44;346
23;347
6;347
35;348
1;348
46;349
11;349
45;350
46;350
27;351
44;351
19;352
3;352
44;353
27;353
5;354
10;354
10;355
31;355
1;356
12;356
37;357
32;357
6;358
10;358
25;359
15;359
22;360
4;360
24;361
27;361
1;362
33;362
21;363
44;363
26;364
8;364
11;365
33;365
46;366
7;366
38;367
24;367
4;368
29;368
20;369
24;369
8;370
36;370
42;371
14;371
33;372
42;372
10;373
5;373
15;374
3;374
36;375
45;375
1;376
10;376
25;377
38;377
23;378
31;378
17;379
26;379
40;380
32;380
5;381
6;381
13;382
41;382
26;383
44;383
46;384
18;384
14;385
35;385
2;386
23;386
47;387
22;387
7;388
44;388
26;389
19;389
21;390
3;390
25;391
37;391
39;392
40;392
2;393
6;393
2;394
46;394
30;395
6;395
11;396
5;396
46;397
30;397
25;398
15;398
33;399
4;399
45;400
17;400
20;401
3;401
33;402
40;402
23;403
40;403
45;404
16;404
40;405
35;405
7;406
40;406
17;407
12;407
31;408
29;408
45;409
20;409
39;410
26;410
38;411
29;411
45;412
33;412
13;413
6;413
0;414
39;414
37;415
28;415
44;416
29;416
40;417
43;417
13;418
42;418
14;419
6;419
16;420
12;420
47;421
16;421
35;422
26;422
1;423
34;423
40;424
4;424
21;425
25;425
9;426
17;426
21;427
7;427
41;428
30;428
7;429
1;429
12;430
47;430
46;431
39;431
46;432
11;432
38;433
21;433
12;434
22;434
38;435
20;435
19;436
41;436
45;437
15;437
40;438
30;438
47;439
23;439
18;440
23;440
43;441
21;441
45;442
41;442
18;443
28;443
14;444
44;444
35;445
17;445
0;446
26;446
46;447
37;447
23;448
40;448
27;449
44;449
4;450
33;450
23;451
3;451
15;452
8;452
23;453
44;453
11;454
14;454
18;455
4;455
11;456
21;456
18;457
14;457
31;458
44;458
36;459
24;459
15;460
22;460
7;461
43;461
24;462
34;462
29;463
21;463
21;464
43;464
8;465
37;465
19;466
16;466
11;467
31;467
27;468
33;468
41;469
17;469
45;470
14;470
46;471
33;471
33;472
15;472
47;473
46;473
30;474
39;474
32;475
43;475
5;476
45;476
23;477
29;477
24;478
9;478
24;479
43;479
32;480
8;480
19;481
22;481
36;482
35;482
28;483
36;483
37;484
26;484
22;485
3;485
25;486
17;486
21;487
9;487
26;488
14;488
3;489
21;489
41;490
26;490
3;491
32;491
17;492
14;492
36;493
2;493
19;494
38;494
8;495
25;495
27;496
18;496
20;497
24;497
43;498
0;498
40;499
31;499
10;500
12;500
27;501
18;501
0;502
41;502
39;503
30;503
3;504
39;504
8;505
16;505
39;506
38;506
24;507
30;507
25;508
47;508
17;509
39;509
12;510
31;510
8;511
43;511
11;512
4;512
37;513
7;513
29;514
5;514
27;515
26;515
28;516
42;516
33;517
2;517
15;518
42;518
17;519
0;519
38;520
43;520
44;521
3;521
29;522
44;522
30;523
44;523
36;524
44;524
28;525
14;525
26;526
21;526
13;527
9;527
2;528
4;528
45;529
23;529
42;530
27;530
10;531
1;531
15;532
28;532
22;533
21;533
4;534
21;534
15;535
13;535
47;536
36;536
31;537
7;537
6;538
24;538
3;539
42;539
29;540
46;540
32;541
24;541
16;542
4;542
46;543
22;543
28;544
23;544
31;545
21;545
41;546
37;546
29;547
9;547
25;548
18;548
10;549
31;549
45;550
15;550
30;551
24;551
38;552
30;552
2;553
14;553
42;554
2;554
46;555
19;555
46;556
1;556
41;557
9;557
7;558
4;558
44;559
4;559
28;560
47;560
4;561
37;561
22;562
30;562
41;563
13;563
20;564
9;564
35;565
16;565
15;566
34;566
34;567
46;567
12;568
9;568
13;569
5;569
9;570
21;570
17;571
27;571
7;572
4;572
43;573
47;573
22;574
10;574
45;575
21;575
46;576
19;576
46;577
39;577
47;578
41;578
24;579
14;579
25;580
36;580
46;581
24;581
34;582
21;582
18;583
36;583
18;584
5;584
28;585
5;585
46;586
29;586
33;587
6;587
45;588
32;588
35;589
17;589
9;590
3;590
28;591
34;591
31;592
12;592
19;593
7;593
34;594
13;594
8;595
38;595
28;596
4;596
23;597
40;597
5;598
10;598
20;599
44;599
13;600
28;600
26;601
13;601
4;602
41;602
14;603
43;603
10;604
42;604
8;605
20;605
22;606
43;606
0;607
15;607
40;608
2;608
25;609
9;609
32;610
19;610
0;611
33;611
35;612
31;612
42;613
6;613
46;614
38;614
33;615
10;615
31;616
3;616
21;617
11;617
4;618
21;618
24;619
40;619
29;620
40;620
33;621
13;621
16;622
12;622
5;623
40;623
3;624
15;624
35;625
1;625
5;626
22;626
17;627
28;627
26;628
40;628
41;629
3;629
11;630
27;630
42;631
41;631
24;632
12;632
23;633
4;633
21;634
36;634
10;635
24;635
27;636
35;636
0;637
36;637
30;638
9;638
10;639
32;639
39;640
3;640
46;641
4;641
21;642
23;642
3;643
9;643
10;644
34;644
8;645
7;645
16;646
4;646
34;647
30;647
37;648
41;648
47;649
20;649
35;650
1;650
38;651
8;651
1;652
43;652
0;653
19;653
20;654
10;654
10;655
8;655
33;656
15;656
30;657
29;657
21;658
44;658
36;659
42;659
33;660
16;660
24;661
3;661
47;662
36;662
34;663
16;663
37;664
30;664
33;665
21;665
33;666
47;666
0;667
45;667
38;668
40;668
13;669
42;669
3;670
38;670
25;671
6;671
44;672
26;672
9;673
18;673
37;674
21;674
32;675
36;675
19;676
41;676
47;677
34;677
23;678
11;678
46;679
45;679
28;680
20;680
42;681
46;681
11;682
45;682
35;683
3;683
36;684
30;684
7;685
18;685
47;686
23;686
39;687
12;687
16;688
1;688
46;689
21;689
41;690
45;690
46;691
39;691
14;692
12;692
40;693
9;693
11;694
37;694
37;695
42;695
11;696
45;696
41;697
40;697
28;698
1;698
0;699
38;699
37;700
36;700
45;701
46;701
42;702
17;702
8;703
44;703
45;704
0;704
26;705
9;705
45;706
18;706
25;707
9;707
31;708
22;708
16;709
41;709
29;710
7;710
15;711
47;711
42;712
39;712
37;713
30;713
14;714
25;714
3;715
11;715
39;716
34;716
31;717
44;717
18;718
27;718
21;719
36;719
43;720
11;720
17;721
6;721
33;722
27;722
28;723
12;723
7;724
5;724
32;725
38;725
22;726
24;726
23;727
17;727
26;728
6;728
46;729
1;729
22;730
3;730
18;731
6;731
4;732
29;732
31;733
40;733
15;734
20;734
42;735
33;735
0;736
30;736
3;737
28;737
12;738
11;738
36;739
26;739
32;740
47;740
42;741
11;741
47;742
4;742
27;743
41;743
16;744
11;744
18;745
17;745
8;746
35;746
3;747
35;747
11;748
25;748
19;749
20;749
15;750
42;750
26;751
3;751
7;752
27;752
5;753
6;753
33;754
4;754
10;755
39;755
15;756
24;756
38;757
37;757
26;758
21;758
37;759
14;759
6;760
41;760
6;761
13;761
23;762
6;762
40;763
10;763
17;764
3;764
24;765
14;765
21;766
42;766
46;767
18;767
20;768
45;768
36;769
20;769
38;770
37;770
42;771
45;771
29;772
24;772
40;773
32;773
17;774
4;774
18;775
25;775
27;776
1;776
0;777
43;777
36;778
45;778
19;779
24;779
41;780
26;780
29;781
39;781
5;782
40;782
27;783
43;783
31;784
24;784
3;785
13;785
43;786
12;786
30;787
18;787
16;788
35;788
21;789
33;789
17;790
21;790
10;791
35;791
7;792
35;792
30;793
34;793
17;794
21;794
18;795
14;795
17;796
14;796
45;797
18;797
21;798
27;798
1;799
38;799
1;800
18;800
14;801
37;801
9;802
46;802
2;803
24;803
23;804
20;804
25;805
17;805
27;806
25;806
44;807
15;807
38;808
22;808
6;809
44;809
24;810
31;810
39;811
34;811
35;812
11;812
43;813
23;813
11;814
28;814
36;815
38;815
16;816
23;816
18;817
38;817
44;818
24;818
31;819
28;819
10;820
16;820
44;821
7;821
34;822
27;822
20;823
41;823
38;824
32;824
40;825
22;825
9;826
31;826
23;827
38;827
40;828
13;828
5;829
2;829
30;830
35;830
38;831
45;831
7;832
47;832
15;833
27;833
37;834
45;834
6;835
1;835
38;836
4;836
24;837
3;837
22;838
35;838
6;839
21;839
26;840
44;840
15;841
7;841
26;842
38;842
10;843
37;843
35;844
21;844
2;845
45;845
13;846
33;846
12;847
44;847
19;848
44;848
42;849
30;849
8;850
42;850
0;851
29;851
28;852
30;852
28;853
21;853
34;854
21;854
45;855
19;855
3;856
9;856
9;857
25;857
46;858
18;858
46;859
18;859
5;860
43;860
38;861
46;861
21;862
17;862
3;863
0;863
27;864
39;864
42;865
23;865
26;866
30;866
40;867
43;867
41;868
40;868
1;869
37;869
24;870
41;870
35;871
1;871
46;872
33;872
12;873
3;873
13;874
25;874
39;875
13;875
19;876
15;876
34;877
0;877
38;878
44;878
17;879
25;879
22;880
14;880
6;881
25;881
46;882
39;882
15;883
8;883
27;884
12;884
47;885
35;885
15;886
44;886
2;887
0;887
19;888
21;888
38;889
35;889
3;890
42;890
23;891
28;891
3;892
42;892
36;893
46;893
30;894
27;894
12;895
18;895
23;896
39;896
32;897
18;897
36;898
23;898
8;899
43;899
42;900
10;900
12;901
43;901
36;902
33;902
25;903
20;903
44;904
14;904
39;905
33;905
46;906
38;906
33;907
20;907
42;908
44;908
21;909
40;909
8;910
36;910
3;911
5;911
13;912
2;912
38;913
30;913
22;914
34;914
36;915
33;915
7;916
43;916
37;917
29;917
38;918
33;918
10;919
16;919
47;920
8;920
29;921
40;921
40;922
5;922
40;923
36;923
32;924
28;924
45;925
39;925
22;926
20;926
11;927
20;927
42;928
12;928
4;929
12;929
4;930
9;930
41;931
19;931
33;932
39;932
44;933
35;933
29;934
39;934
24;935
6;935
5;936
18;936
7;937
44;937
30;938
41;938
3;939
15;939
23;940
41;940
47;941
20;941
45;942
35;942
16;943
28;943
43;944
12;944
1;945
17;945
32;946
15;946
13;947
45;947
27;948
28;948
30;949
0;949
32;950
18;950
24;951
38;951
15;952
7;952
29;953
36;953
22;954
21;954
23;955
45;955
38;956
3;956
14;957
36;957
33;958
9;958
24;959
12;959
1;960
45;960
28;961
35;961
20;962
21;962
16;963
5;963
10;964
1;964
14;965
36;965
41;966
11;966
28;967
24;967
25;968
16;968
43;969
31;969
18;970
24;970
18;971
36;971
47;972
0;972
3;973
39;973
16;974
25;974
22;975
30;975
38;976
40;976
1;977
13;977
18;978
1;978
26;979
23;979
44;980
43;980
15;981
44;981
14;982
17;982
38;983
17;983
43;984
28;984
36;985
38;985
26;986
41;986
46;987
17;987
41;988
24;988
18;989
2;989
19;990
25;990
12;991
29;991
26;992
46;992
41;993
12;993
3;994
17;994
8;995
11;995
11;996
27;996
18;997
2;997
19;998
16;998
20;999
39;999
0;204
0;467
0;939
0;795
0;346
0;666
0;904
0;764
0;225
0;424
0;850
0;38
0;628
0;776
0;955
0;244
0;119
0;488
0;81
0;445
0;271
0;9
0;752
0;468
0;755
0;12
0;386
0;146
0;497
0;304
0;92
0;761
0;749
0;267
0;770
0;281
0;42
0;916
0;181
0;23
0;466
0;342
0;661
0;591
0;965
0;437
0;990
0;843
0;403
0;876
0;66
0;209
0;528
0;662
0;25
0;621
0;234
0;243
0;169
0;896
0;451
0;207
0;943
0;659
0;900
0;457
0;641
0;252
0;35
0;730
0;311
0;348
0;340
0;691
0;487
0;295
0;358
0;639
0;633
0;775
0;328
0;388
0;110
0;834
0;273
0;430
0;356
0;353
0;986
0;783
0;731
0;496
0;189
0;255
0;746
0;830
0;763
0;531
0;945
0;147
0;464
0;98
0;56
0;148
0;713
0;478
0;963
0;399
0;671
0;107
0;109
0;34
0;122
0;561
0;860
0;702
0;290
0;241
0;891
0;817
0;111
0;934
0;592
0;331
0;469
0;360
0;782
0;868
0;444
0;73
0;428
0;524
0;708
0;454
0;405
0;978
0;769
0;72
0;398
0;97
0;432
0;192
0;632
0;389
0;449
0;760
0;668
0;87
0;515
0;533
0;359
0;455
0;780
0;852
0;967
0;242
0;265
0;341
0;49
0;133
0;813
0;706
0;145
0;568
0;733
0;825
0;689
0;615
0;957
0;54
0;567
0;808
0;735
0;842
0;127
0;675
0;710
0;443
0;895
0;53
0;481
0;0
0;282
0;152
0;317
0;809
0;366
0;320
0;391
0;998
0;132
0;218
0;214
0;651
0;345
0;785
0;756
0;486
0;987
0;636
0;997
0;41
0;521
0;67
0;854
0;901
0;36
0;117
0;299
0;971
0;501
0;544
0;819
0;59
0;882
0;188
0;101
0;620
0;617
0;29
0;195
0;573
0;709
0;21
0;208
0;327
0;831
0;514
0;400
0;440
0;674
0;504
0;612
0;889
0;538
0;500
0;347
0;559
0;727
0;471
0;361
0;933
0;476
0;420
0;232
0;758
0;130
0;409
0;491
0;298
0;433
0;126
0;818
0;78
0;473
0;913
0;310
0;523
0;849
0;988
0;251
0;167
0;527
0;861
0;65
0;43
0;318
0;330
0;175
0;85
0;970
0;697
0;357
0;991
0;236
0;93
0;418
0;786
0;540
0;658
0;962
0;595
0;856
0;45
0;163
0;217
0;11
0;143
0;772
0;307
0;870
0;884
0;139
0;518
0;135
0;262
0;627
0;919
0;412
0;472
0;545
0;928
0;483
0;734
0;685
0;596
0;123
0;387
0;718
0;762
0;534
0;821
0;724
0;178
0;797
0;964
0;624
0;338
0;833
0;631
0;789
0;732
0;406
0;158
0;598
0;893
0;51
0;434
0;890
0;994
0;377
0;961
0;571
0;431
0;385
0;759
0;950
0;202
0;742
0;750
0;199
0;141
0;19
0;99
0;609
0;490
0;548
0;286
0;792
0;871
0;911
0;506
0;823
0;371
0;27
0;794
0;883
0;804
0;3
0;475
0;499
0;68
0;162
0;168
0;906
0;161
0;177
0;44
0;976
0;707
0;482
0;898
0;712
0;256
0;187
0;57
0;608
0;10
0;840
0;394
0;84
0;616
0;382
0;415
0;517
0;203
0;134
0;48
0;917
0;325
0;846
0;940
0;936
0;263
0;684
0;20
0;100
0;778
0;793
0;626
0;956
0;253
0;438
0;576
0;495
0;33
0;547
0;688
0;714
0;565
0;824
0;324
0;980
0;278
0;174
0;973
0;18
0;553
0;695
0;416
0;116
0;381
0;257
0;376
0;326
0;222
0;966
0;993
0;435
0;14
0;747
0;74
0;828
0;673
0;312
0;716
0;13
0;274
0;874
0;837
0;390
0;408
0;185
0;586
0;605
0;625
0;969
0;180
0;629
0;938
0;492
0;537
0;875
0;686
0;676
0;623
0;63
0;480
0;947
0;240
0;503
0;672
0;294
0;170
0;186
0;645
0;535
0;648
0;301
0;334
0;343
0;853
0;239
0;664
0;509
0;589
0;159
0;946
0;930
0;223
0;8
0;903
0;899
0;510
0;7
0;264
0;459
0;613
0;442
0;231
0;124
0;788
0;131
0;981
0;647
0;581
0;76
0;369
0;166
0;683
0;563
0;270
0;642
0;254
0;224
0;522
0;529
0;462
0;879
0;905
0;767
0;129
0;873
0;679
0;857
0;83
0;426
0;979
0;293
0;507
0;215
0;954
0;698
0;774
0;577
0;297
0;368
0;441
0;456
0;196
0;655
0;292
0;549
0;372
0;314
0;696
0;308
0;729
0;745
0;560
0;91
0;982
0;316
0;694
0;915
0;944
0;392
0;108
0;920
0;799
0;614
0;932
0;983
0;525
0;448
0;266
0;580
0;184
0;923
0;321
0;90
0;646
0;280
0;176
0;600
0;452
0;118
0;722
0;597
0;183
0;69
0;374
0;227
0;847
0;88
0;427
0;505
0;410
0;914
0;458
0;968
0;802
0;329
0;754
0;173
0;738
0;757
0;212
0;705
0;95
0;937
0;276
0;422
0;536
0;542
0;246
0;461
0;120
0;216
0;460
0;114
0;771
0;164
0;362
0;289
0;992
0;989
0;826
0;75
0;2
0;350
0;557
0;610
0;588
0;31
0;17
0;572
0;260
0;737
0;864
0;153
0;335
0;744
0;855
0;807
0;721
0;897
0;319
0;378
0;86
0;996
0;137
0;305
0;80
0;71
0;351
0;37
0;960
0;352
0;931
0;587
0;383
0;787
0;261
0;395
0;768
0;16
0;929
0;741
0;791
0;365
0;140
0;121
0;569
0;711
0;277
0;948
0;206
0;323
0;670
0;638
0;115
0;193
0;872
0;205
0;892
0;652
0;751
0;198
0;984
0;845
0;796
0;925
0;574
0;810
0;247
0;337
0;52
0;924
0;848
0;463
0;869
0;784
0;838
0;835
0;635
0;811
0;102
0;578
0;439
0;634
0;999
0;269
0;593
0;677
0;720
0;364
0;660
0;306
0;644
0;935
0;859
0;336
0;237
0;865
0;822
0;781
0;142
0;450
0;375
0;402
0;908
0;995
0;801
0;453
0;103
0;211
0;601
0;489
0;555
0;743
0;765
0;827
0;693
0;566
0;953
0;773
0;233
0;303
0;959
0;354
0;575
0;229
0;726
0;106
0;30
0;564
0;230
0;425
0;128
0;508
0;806
0;210
0;602
0;554
0;200
0;275
0;599
0;703
0;493
0;922
0;235
0;182
0;815
0;302
0;397
0;149
0;546
0;113
0;866
0;909
0;690
0;64
0;748
0;516
0;800
0;681
0;191
0;417
0;921
0;404
0;470
0;820
0;379
0;841
0;485
0;678
0;952
0;650
0;541
0;942
0;839
0;284
0;619
0;951
0;512
0;70
0;552
0;682
0;384
0;585
0;407
0;725
0;562
0;878
0;194
0;579
0;912
0;82
0;228
0;715
0;28
0;700
0;717
0;687
0;380
0;888
0;657
0;250
0;829
0;219
0;551
0;248
0;701
0;606
0;104
0;858
0;582
0;941
0;663
0;511
0;816
0;396
0;974
0;958
0;594
0;363
0;985
0;918
0;171
0;739
0;622
0;862
0;728
0;584
0;268
0;429
0;283
0;339
0;24
0;94
0;886
0;665
0;1
0;313
0;477
0;753
0;47
0;89
0;421
0;570
0;532
0;558
0;15
0;125
0;798
0;520
0;221
0;630
0;6
0;603
0;62
0;975
0;249
0;604
0;910
0;349
0;423
0;150
0;832
0;539
0;881
0;160
0;370
0;413
0;77
0;201
0;5
0;355
0;393
0;894
0;332
0;926
0;151
0;654
0;805
0;322
0;58
0;723
0;885
0;296
0;740
0;96
0;61
0;543
0;259
0;618
0;790
0;803
0;60
0;649
0;836
0;590
0;79
0;494
0;22
0;373
0;479
0;907
0;643
0;344
0;144
0;179
0;669
0;530
0;197
0;154
0;401
0;465
0;112
0;474
0;902
0;291
0;550
0;692
0;583
0;812
0;39
0;136
0;680
0;315
0;220
0;165
0;844
0;977
0;287
0;814
0;719
0;526
0;288
0;436
0;447
0;46
0;766
0;213
0;927
0;411
0;155
0;556
0;867
0;138
0;880
0;55
0;640
0;484
0;419
0;779
0;656
0;32
0;513
0;367
1;204
1;467
1;939
1;795
1;346
1;666
1;611
1;904
1;764
1;225
1;424
1;850
1;38
1;628
1;955
1;244
1;119
1;488
1;81
1;445
1;271
1;9
1;752
1;468
1;755
1;12
1;386
1;146
1;497
1;304
1;92
1;761
1;749
1;267
1;770
1;281
1;42
1;916
1;181
1;23
1;172
1;466
1;342
1;661
1;591
1;965
1;437
1;990
1;843
1;403
1;876
1;66
1;528
1;662
1;25
1;279
1;621
1;234
1;243
1;169
1;896
1;451
1;207
1;943
1;659
1;900
1;457
1;641
1;252
1;730
1;311
1;340
1;691
1;487
1;295
1;226
1;358
1;639
1;633
1;775
1;328
1;388
1;110
1;834
1;273
1;430
1;353
1;986
1;783
1;731
1;496
1;189
1;255
1;746
1;830
1;763
1;147
1;464
1;98
1;56
1;148
1;713
1;478
1;963
1;399
1;671
1;107
1;109
1;34
1;285
1;122
1;561
1;860
1;702
1;290
1;241
1;891
1;817
1;111
1;934
1;592
1;331
1;469
1;258
1;360
1;782
1;868
1;444
1;73
1;428
1;524
1;708
1;454
1;405
1;769
1;72
1;398
1;97
1;736
1;432
1;192
1;632
1;389
1;449
1;760
1;668
1;87
1;515
1;533
1;949
1;359
1;455
1;637
1;780
1;852
1;967
1;242
1;265
1;341
1;49
1;190
1;813
1;706
1;145
1;568
1;733
1;825
1;689
1;615
1;957
1;54
1;567
1;808
1;735
1;842
1;675
1;710
1;443
1;895
1;53
1;481
1;0
1;282
1;152
1;317
1;809
1;366
1;391
1;998
1;132
1;218
1;214
1;651
1;345
1;785
1;756
1;486
1;987
1;498
1;636
1;997
1;41
1;521
1;67
1;854
1;901
1;36
1;117
1;299
1;971
1;501
1;544
1;819
1;59
1;882
1;188
1;101
1;620
1;617
1;29
1;195
1;573
1;709
1;21
1;208
1;327
1;831
1;514
1;400
1;440
1;674
1;504
1;612
1;889
1;538
1;500
1;347
1;559
1;727
1;471
1;361
1;933
1;476
1;420
1;245
1;232
1;758
1;130
1;409
1;491
1;298
1;433
1;126
1;818
1;78
1;473
1;913
1;310
1;523
1;849
1;988
1;251
1;167
1;527
1;861
1;65
1;43
1;318
1;330
1;85
1;970
1;697
1;357
1;991
1;236
1;93
1;418
1;786
1;540
1;658
1;962
1;595
1;856
1;45
1;163
1;217
1;11
1;143
1;772
1;307
1;870
1;884
1;518
1;135
1;262
1;627
1;919
1;412
1;472
1;545
1;928
1;483
1;734
1;685
1;596
1;123
1;387
1;718
1;762
1;534
1;821
1;724
1;178
1;797
1;624
1;338
1;833
1;631
1;789
1;732
1;406
1;158
1;598
1;893
1;51
1;863
1;434
1;890
1;994
1;377
1;961
1;571
1;431
1;385
1;759
1;950
1;202
1;742
1;750
1;199
1;141
1;19
1;99
1;609
1;490
1;548
1;286
1;792
1;911
1;667
1;506
1;823
1;371
1;27
1;794
1;883
1;804
1;3
1;475
1;499
1;68
1;162
1;168
1;906
1;333
1;161
1;177
1;44
1;976
1;707
1;482
1;898
1;712
1;256
1;187
1;57
1;608
1;10
1;840
1;394
1;84
1;616
1;382
1;157
1;415
1;517
1;203
1;134
1;48
1;917
1;325
1;846
1;940
1;936
1;263
1;684
1;20
1;100
1;778
1;793
1;626
1;956
1;438
1;576
1;495
1;33
1;547
1;714
1;565
1;824
1;324
1;980
1;278
1;174
1;973
1;18
1;553
1;695
1;416
1;116
1;381
1;257
1;326
1;222
1;966
1;993
1;435
1;14
1;747
1;74
1;699
1;828
1;673
1;312
1;704
1;716
1;13
1;274
1;874
1;837
1;390
1;408
1;185
1;586
1;605
1;26
1;969
1;180
1;629
1;938
1;492
1;537
1;875
1;686
1;676
1;623
1;63
1;480
1;947
1;240
1;503
1;672
1;294
1;170
1;186
1;645
1;535
1;648
1;301
1;334
1;343
1;853
1;239
1;664
1;509
1;589
1;159
1;946
1;930
1;223
1;8
1;903
1;899
1;510
1;7
1;264
1;459
1;613
1;442
1;231
1;124
1;788
1;131
1;981
1;647
1;581
1;369
1;166
1;683
1;563
1;270
1;642
1;254
1;224
1;522
1;529
1;462
1;879
1;905
1;767
1;129
1;873
1;679
1;857
1;83
1;426
1;979
1;293
1;507
1;215
1;954
1;774
1;577
1;156
1;297
1;368
1;441
1;456
1;196
1;309
1;655
1;292
1;549
1;372
1;314
1;696
