nombre_parque;hectareas;descripcion_parque;tarifa;pid
Reserva Nacional Rio de Los Cipreses;920447;Sint molestias vero totam nihil aliquid. Nisi provident temporibus laboriosam praesentium quibusdam amet. Minima omnis vitae quaerat molestiae earum. At quae tempore eveniet molestiae.;19231.71;29
Parque Nacional Las Palmas de Cocalán;579387;Fuga magni quia occaecati laboriosam illo. Laborum nulla nam atque. Laudantium ut non quos.;10099.1;30
Reserva Nacional Altos de Lircay;855054;Veniam id a totam beatae laudantium. Repudiandae sequi culpa debitis nemo delectus amet incidunt.;5020.37;32
Reserva Nacional Laguna Torca;637551;Possimus maxime id labore perspiciatis cumque temporibus atque. Doloribus voluptatem dolores aliquam dicta. Nostrum consequuntur perspiciatis rem iusto nisi enim nobis.;19166.68;33
Reserva Nacional Los Queules;510290;Ad impedit placeat maxime. Quo est repudiandae eveniet eum nostrum officiis.;8288.3;34
Reserva Nacional Los Ruiles;791011;Perspiciatis facilis nostrum omnis placeat minus. Nulla non provident ea officiis adipisci eligendi. Sunt culpa placeat illo iure ex.;5958.38;35
Reserva Nacional Radal Siete Tazas;366944;Provident labore nesciunt sunt inventore fugit possimus incidunt. Vitae quos corrupti reiciendis harum. Itaque labore libero excepturi modi possimus doloremque sit.;17965.33;36
Parque Nacional Radal Siete Tazas;21859;Laborum aspernatur eaque praesentium assumenda. Illo repellat voluptatibus ad voluptatibus sapiente laboriosam.;23743.48;37
Reserva Nacional Federico Albert;893295;Velit ut minus in fugiat.;22690.87;38
Reserva Nacional Ralco;276434;Iure eligendi cumque quaerat quaerat ipsum. Aliquid aspernatur nisi rem nobis. Odit praesentium maxime cupiditate minus.;8567.53;40
Reserva Nacional Altos de Pemehue;572943;Non omnis aliquam iste illum optio deserunt. Libero inventore amet a voluptate ullam voluptatem.;6749.01;41
Reserva Nacional Nonguën;236477;Reiciendis libero harum. Autem et delectus distinctio. Adipisci impedit fugit quas ratione neque quasi.;21564.8;42
Reserva Nacional Isla Mocha;403549;Minus laudantium exercitationem assumenda veniam. Repellat fugit perspiciatis voluptatum vitae provident quos. Eaque ex doloribus reiciendis. Dolorum corporis veniam totam eos ipsam reiciendis aliquid.;22865.98;43
Parque Nacional Laguna del Laja;643223;Quia aut molestias et quibusdam culpa commodi. Reprehenderit explicabo temporibus delectus voluptates corrupti occaecati harum. Nam sed impedit maiores excepturi.;5521.46;44
Parque Nacional Vicente Pérez Rosales;263126;Occaecati neque neque molestias. Illo repudiandae sed voluptatum. Modi nihil voluptas nostrum odit repellat neque.;16200.49;46
Parque Nacional Conguillío;553951;Facilis voluptas error ea ut vel quaerat mollitia.;7431.82;47
Parque Nacional Pumalín;446993;Asperiores eius totam iure nisi. Quas voluptatum autem earum sint quidem magni. Tempore impedit cum reprehenderit ullam cum.;21696.56;49
Parque Nacional Hornopirén;521641;Asperiores autem quo sequi veniam eligendi eos. Ipsum reprehenderit ullam accusamus perferendis assumenda magni. Dignissimos voluptatem explicabo at eaque molestiae.;10168.03;50
Parque Nacional Cabo de Hornos;790456;Totam molestias dolorem eius veniam delectus reiciendis. Labore ea inventore eum error sed.;17831.82;60
Parque Nacional Puyehue;38986;Impedit odio repellendus rem non inventore. Dolore error vero molestias eligendi reprehenderit.;24258.36;51
Parque Nacional Laguna San Rafael;771571;Eaque asperiores quibusdam modi quibusdam molestiae minus. Facere modi assumenda possimus labore adipisci similique. Earum doloribus odit rerum ad sint.;20886.97;53
Parque Nacional Bernardo O'Higgins;363609;Ad praesentium dolore quod voluptatum alias iste. Aspernatur ratione dolor quasi dolorum magni. Excepturi inventore itaque atque.;12112.83;54
Reserva Nacional Magallanes;43979;Dicta quis ipsa qui amet. Ad blanditiis iste. Sint cupiditate quibusdam dolore. Adipisci id voluptas veritatis hic totam.;6751.73;56
Parque Nacional Pali Aike;340541;Delectus molestias nulla iusto odit quidem. Suscipit quisquam eum tempore eligendi deleniti veritatis. Molestias alias doloremque corporis repudiandae dolores laudantium.;17607.2;57
Parque Nacional Torres del Paine;851772;Iure ullam deserunt modi.;19822.25;58
Reserva Nacional Laguna Parrillar;97396;Eum dolore harum possimus reprehenderit reprehenderit. Minus impedit nihil. Cupiditate architecto molestiae commodi excepturi iusto.;4641.24;59
Reserva Nacional Alacalufes;152028;Tempore error eos quaerat. Accusantium consequatur neque numquam.;11259.85;61
Reserva Nacional Rio Clarillo;235529;Numquam fugiat dicta enim. Laboriosam ratione officia commodi. Beatae nesciunt soluta dolor voluptatibus placeat.;23314.86;63
Reserva Nacional Robleria del Cobre de Loncha;580283;Voluptas fugiat vitae nesciunt. Molestias consequuntur molestias ex.;19796.35;64
Monumento Natural El Morado;898116;Sunt expedita aliquam. Nihil quasi dignissimos amet voluptate.;5184.59;65
Reserva Nacional Alerce Costero;355229;Voluptatem perferendis earum voluptates omnis in. Velit rem aliquid aspernatur soluta. Quis unde ducimus.;12161.41;67
Reserva Nacional Mocho Choshuenco;395164;Eaque neque et a.;22584.93;68
Parque Nacional Villarrica;162177;Alias consequatur neque dolore. Expedita eius omnis culpa eligendi quam rerum. Minima quaerat voluptate culpa mollitia omnis.;24118.03;69
Reserva Nacional las Vicuñas;924965;Nam soluta alias dicta. Sit earum porro omnis. Voluptatem saepe eligendi aut.;13480.44;71
Monumento Natural Quebrada de Cardones;592481;Dolores pariatur reiciendis reprehenderit. Rerum doloribus eum dolores pariatur numquam. Odit soluta nulla non.;10803.34;72
Parque Nacional Nacional Lauca;528028;Quas deleniti ipsa eum dolore officiis quaerat. At doloremque alias tempora. Quam placeat omnis corrupti laudantium ab optio. Quibusdam consectetur voluptatum voluptatibus explicabo sit.;24457.89;73
Monumento Nacional Salar de Surire;716624;Corrupti ratione soluta natus. Voluptates non soluta. Eius earum illum minus.;15010.01;74
Reserva Nacional Ñuble;987567;Quidem temporibus molestias repellat reiciendis. Tempore animi eveniet itaque praesentium recusandae occaecati. Architecto sapiente laboriosam excepturi maxime numquam aliquid. Veritatis blanditiis fugiat excepturi labore.;17872.16;76
Reserva Nacional Huemules del Niblinto;518138;Assumenda officia occaecati consectetur doloremque. Numquam sed earum ducimus maiores dicta consequuntur.;22111.33;77
