nombre_vina;telefono;descripcion;vid
VIÑA FRONTERA-PALOMAR BREÑA;56995359003;Magni ipsa quia. Quae sequi sed blanditiis nobis repellat. Quidem recusandae reiciendis pariatur soluta.;1
VIÑA RUTA MÁLAGA;56994839713;Omnis minima repellendus id. Saepe doloremque sunt saepe assumenda sunt sint. Alias quas delectus ea. Enim saepe sequi explicabo doloremque.;28
VIÑA VEGA BODEGA;56995544353;Quas voluptas maiores reiciendis. Animi illo nostrum totam accusamus porro.;25
VIÑA DE TRAFALGAR-CAÑOS;56954619434;Ut alias soluta ipsa iusto. Veniam maxime possimus consectetur quod adipisci perferendis. Vel commodi doloremque ea at.;44
VIÑA JANDA SALTO;56927206065;Magni nemo ut minima velit voluptas exercitationem. Nesciunt modi inventore. Quo saepe quos aliquid illum doloremque fugiat quasi. Voluptates in minus.;6
VIÑA DORNAJO DEL;56977343174;Odit nam cum perspiciatis hic quas debitis.;11
VIÑA Y LOMAS;56972682003;Id possimus debitis tempora atque ut deleniti veritatis. Incidunt omnis unde. Itaque esse eligendi.;13
VIÑA DE VENTA;56935608447;Laborum laboriosam magni quos nostrum libero voluptate. Totam quia unde ut doloremque voluptatibus dolorum. Sit ipsam quaerat laudantium explicabo.;24
VIÑA BENALUP-CASAS LAS;56922108110;Porro harum nulla accusantium. Quo dolorum placeat similique non aut. Quaerat non minima libero.;17
VIÑA DE TAPA;56934512702;Deleniti corporis accusantium libero quibusdam nobis quam. Quis minus quos nesciunt iusto.;10
VIÑA RECREATIVA DEL;56909191169;Dignissimos at dignissimos autem. Praesentium molestiae ipsum. Quasi vero animi reiciendis aliquam.;31
VIÑA ASOMADA POZOS;56986107457;Voluptates praesentium officiis dicta. Praesentium iusto provident voluptates pariatur corporis maiores sed. Perspiciatis nobis ea totam esse suscipit numquam.;29
VIÑA SALINA DE;56904682224;Ipsum eos maiores odio reiciendis optio. Maxime possimus id ducimus tempore. Aliquid modi rerum soluta illo ipsam est.;19
VIÑA ROTA AZÚCAR;56923194770;Quaerat pariatur eos. Enim quia recusandae enim laudantium animi dolores fuga. Non odit quas ipsam quo. Odit quisquam porro repellendus suscipit.;9
VIÑA LA SUARA;56992249640;Impedit totam eligendi quam cumque. Officiis doloribus nihil sint delectus voluptatum omnis. Eligendi iusto quidem quis.;5
VIÑA DE AL;56900779981;Commodi ad ipsum voluptatum cum. Nihil ut mollitia mollitia eaque.;43
VIÑA LA COLADA;56963492274;Necessitatibus sed nihil ducimus ullam. Perferendis ipsam quidem ratione. Natus quos quibusdam magnam nam magnam.;39
VIÑA PRESILLAS DE;56999027088;Voluptas vel expedita at laborum omnis velit architecto. Aliquam totam ipsum possimus ipsa accusantium. Necessitatibus accusantium magnam.;12
VIÑA LOS MORITA;56952539196;Impedit optio voluptatum quasi ea. Tempora suscipit saepe nisi autem voluptates quis placeat.;3
VIÑA EL TESORILLO;56988596074;Beatae magnam ullam placeat praesentium. Illo inventore aspernatur nobis.;21
VIÑA LAGARÍN BORNOS;56985090484;Dolor inventore vitae odio in quibusdam. Deserunt velit praesentium ipsum architecto atque. Fugit aliquid ad quam. Ipsum quibusdam minima recusandae sit.;16
VIÑA TRASHUMANTES LA;56950730688;Eius rem animi voluptatem accusantium. Dolor eveniet labore cum iusto quisquam.;30
